file_short_name,twitter_handle
howard_twitter-search.json,twitter.com/howardu
howard_twitter-search.json,twitter.com/howardadmission
howard_twitter-search.json,twitter.com/howardunews
howard_twitter-search.json,twitter.com/howardbison
howard_twitter-search.json,twitter.com/hustudentaffair
howard_twitter-search.json,twitter.com/howardlawschool
howard_twitter-search.json,twitter.com/hubisonsports
howard_twitter-search.json,twitter.com/howardualumni
iit_twitter-search.json,twitter.com/illinoistech
iit_twitter-search.json,twitter.com/iltechathletics
iit_twitter-search.json,twitter.com/iitengineering
iit_twitter-search.json,twitter.com/iitadmission
iit_twitter-search.json,twitter.com/iitarchitecture
iit_twitter-search.json,twitter.com/iltechbaseball
iit_twitter-search.json,twitter.com/iitesports
iit_twitter-search.json,twitter.com/chicagokentlaw
iit_twitter-search.json,twitter.com/mriatiit
illinois_twitter-search.json,twitter.com/illinois_alma
illinois_twitter-search.json,twitter.com/uofiadmissions
illinois_twitter-search.json,twitter.com/uofiresearch
illinois_twitter-search.json,twitter.com/uofilsystem
illinois_twitter-search.json,twitter.com/newsatillinois
illinois_twitter-search.json,twitter.com/uipd
illinois_twitter-search.json,twitter.com/illiniunion
iub_twitter-search.json,twitter.com/iubloomington
iub_twitter-search.json,twitter.com/indianauniv
iub_twitter-search.json,twitter.com/idsnews
iub_twitter-search.json,twitter.com/iuadmissions
iub_twitter-search.json,twitter.com/iupd_btown
iub_twitter-search.json,twitter.com/kelleyschool
iub_twitter-search.json,twitter.com/indianamsoc
iub_twitter-search.json,twitter.com/indianambb
iub_twitter-search.json,twitter.com/iubprovost
iub_twitter-search.json,twitter.com/crres_iub
iub_twitter-search.json,twitter.com/iubchemistry
jhu_twitter-search.json,twitter.com/johnshopkins
jhu_twitter-search.json,twitter.com/hopkinsmedicine
jhu_twitter-search.json,twitter.com/johnshopkinssph
jhu_twitter-search.json,twitter.com/saishopkins
jhu_twitter-search.json,twitter.com/jhueducation
jhu_twitter-search.json,twitter.com/jhu_admissions
jhu_twitter-search.json,twitter.com/hopkinsengineer
jhu_twitter-search.json,twitter.com/jhuartssciences
lehigh_twitter-search.json,twitter.com/lehighu
