date,topic
2021-11-05,privilege
2021-11-09,privilege
2021-12-13,privilege
2010-06-07,privilege
2013-02-26,privilege
2015-04-27,privilege
2014-12-06,privilege
2018-12-05,privilege
2019-09-26,privilege
2020-09-02,privilege
2021-05-04,privilege
2014-03-02,privilege
2020-05-17,racism
2021-06-21,racism
2021-03-22,racism
2018-01-13,racism
2021-09-29,racism
2016-08-31,racism
2018-02-01,racism
2018-03-23,racism
2020-05-25,racism
2021-04-06,racism
2020-08-14,racism
2020-09-08,racism
2021-03-12,racism
2003-11-20,racism
2007-04-22,racism
2017-06-05,racism
2016-03-29,racism
2018-10-15,racism
2019-08-13,racism
2019-12-03,racism
2020-05-08,racism
2020-06-17,racism
2020-08-12,racism
2020-09-24,racism
2020-11-03,racism
2020-11-27,racism
2021-03-11,racism
2021-03-31,racism
2021-05-07,racism
2021-07-18,racism
2021-04-23,racism
2021-07-18,racism
2021-08-27,racism
2021-11-05,racism
2021-11-25,racism
2016-07-27,racism
2018-05-12,racism
2013-01-21,racism
2018-02-01,racism
2019-09-28,racism
2019-10-28,racism
2020-07-15,racism
2020-10-05,racism
2020-11-16,racism
2021-04-13,racism
2021-04-30,racism
2021-05-24,racism
2021-08-17,racism
2021-10-29,racism
2016-10-11,racism
2018-11-24,racism
2018-11-30,racism
2020-08-06,racism
2021-03-27,racism
2021-12-29,racism
2019-10-10,sexism
2021-08-06,sexism
2019-02-27,sexism
2020-04-27,sexism
2021-11-05,sexism
2017-11-24,sexism
2019-01-28,sexism
2020-07-08,sexism
2021-06-09,sexism
2021-11-08,sexism
2021-10-29,sexism
2019-07-01,sexism
2018-01-13,sexism
2021-05-29,sexism
2018-02-01,sexism
2019-09-28,sexism
2020-08-14,sexism
2021-03-12,sexism
2016-11-09,sexism
2017-06-05,sexism
2016-03-29,sexism
2019-12-03,sexism
2020-06-17,sexism
2020-11-03,sexism
2021-03-11,sexism
2021-04-03,sexism
2021-04-18,sexism
2021-06-29,sexism
2021-04-23,sexism
2021-09-14,sexism
2016-07-27,sexism
2018-05-12,sexism
2017-02-24,sexism
2018-02-01,sexism
2019-10-28,sexism
2021-04-13,sexism
2021-12-22,sexism
2018-11-24,sexism
2020-08-06,sexism
2021-03-27,sexism
2021-09-14,social justice
2021-10-06,social justice
2021-01-05,social justice
2018-11-06,social justice
2019-10-08,social justice
2021-11-10,social justice
2021-07-27,social justice
2021-09-27,social justice
2009-06-17,social justice
2014-02-13,social justice
2017-06-06,social justice
2017-06-09,social justice
2018-09-05,social justice
2017-09-09,social justice
2019-06-05,social justice
2020-01-06,social justice
2020-01-23,social justice
2020-07-16,social justice
2020-07-28,social justice
2020-09-22,social justice
2021-04-23,social justice
2021-08-30,social justice
2007-12-19,social justice
2016-04-29,social justice
2020-09-24,social justice
2020-12-18,social justice
2021-02-09,social justice
2021-07-09,social justice
2021-08-12,social justice
2019-12-31,social justice
2020-12-14,social justice
2021-02-24,social justice
2021-06-18,social justice
2021-03-22,systemic racism
2021-04-30,systemic racism
2020-09-08,systemic racism
2020-01-03,white supremacy
2018-09-12,white supremacy
2021-05-18,white supremacy
2021-06-30,white supremacy
